epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.30269,0.88462,0.94103,0.99845
2,0.09359,0.97326,0.98771,0.99979
3,0.06736,0.89655,0.9484,0.99924
4,0.05942,0.95789,0.98034,0.99917
5,0.04237,0.95288,0.97789,0.9989
6,0.02575,0.96809,0.98526,0.99931
7,0.03121,0.91919,0.96069,0.997
8,0.02634,0.95288,0.97789,0.99934
9,0.02107,0.97849,0.99017,0.99976
10,0.01898,0.97326,0.98771,0.99938
11,0.01347,0.97849,0.99017,0.99952
12,0.01227,0.94301,0.97297,0.99834
13,0.0078,0.97326,0.98771,0.99896
14,0.01336,0.95288,0.97789,0.999
15,0.00949,0.97326,0.98771,0.99845
16,0.0103,0.93814,0.97052,0.99855
17,0.01102,0.96809,0.98526,0.998
18,0.01656,0.95789,0.98034,0.99879
19,0.00602,0.97326,0.98771,0.99845
