epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.27322,0.575,0.66667,0.89974
2,0.08851,0.84615,0.92157,0.98672
3,0.06698,0.91837,0.96078,0.99454
4,0.05383,0.9375,0.97059,0.99491
5,0.03385,0.96133,0.98284,0.99536
6,0.03125,0.95789,0.98039,0.99631
7,0.02552,0.96296,0.98284,0.99662
8,0.02312,0.97826,0.9902,0.99587
9,0.01254,0.97849,0.9902,0.99587
10,0.01416,0.97849,0.9902,0.99655
11,0.01125,0.98378,0.99265,0.99628
12,0.00622,0.98378,0.99265,0.99642
13,0.00729,0.98378,0.99265,0.99625
14,0.01672,0.97268,0.98775,0.99706
15,0.01456,0.97826,0.9902,0.99662
16,0.01036,0.97268,0.98775,0.99611
17,0.0121,0.97268,0.98775,0.99689
18,0.01388,0.97268,0.98775,0.99614
19,0.01311,0.97268,0.98775,0.99662
20,0.00722,0.97268,0.98775,0.99491
21,0.00443,0.97268,0.98775,0.99406
