epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.13909,0.9505,0.97512,0.99728
2,0.04069,0.97959,0.99005,0.98469
3,0.01775,0.97409,0.98756,0.99634
4,0.03769,0.88889,0.9403,0.99359
5,0.03788,0.97938,0.99005,0.99426
6,0.02365,0.98462,0.99254,0.99456
7,0.00744,0.97409,0.98756,0.9959
8,0.01597,0.97938,0.99005,0.9908
9,0.01713,0.97409,0.98756,0.99564
10,0.00429,0.97938,0.99005,0.9952
11,0.00572,0.97938,0.99005,0.99533
12,0.00462,0.97938,0.99005,0.99168
13,0.00407,0.97938,0.99005,0.99325
14,0.0024,0.97938,0.99005,0.99523
15,0.00105,0.97938,0.99005,0.99359
16,0.00095,0.97938,0.99005,0.99329
