fold,backbone,loss,finetune_mode,n_test,seed,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,specificity,sensitivity,ece,f1_ci_low,f1_ci_high
1,resnet50,weighted_ce,full,402,42,0.99005,0.98958,0.96939,0.97938,0.98641,0.98798,0.98641,0.99671,0.96939,0.00994,0.95651,0.99522
2,resnet50,weighted_ce,full,407,42,0.99017,0.98,0.98,0.98,0.98674,0.99827,0.9932,0.99349,0.98,0.00847,0.95833,0.99578
3,resnet50,weighted_ce,full,409,42,0.98044,0.91111,1.0,0.95349,0.97055,0.99459,0.94931,0.97554,1.0,0.02071,0.91427,0.98286
4,resnet50,weighted_ce,full,400,42,0.995,0.97727,1.0,0.98851,0.99266,0.99993,0.99974,0.99363,1.0,0.00778,0.9697,1.0
5,resnet50,weighted_ce,full,408,42,0.99265,0.98913,0.97849,0.98378,0.98951,0.99976,0.99921,0.99683,0.97849,0.00755,0.96104,1.0
2,efficientnet_b0,weighted_ce,full,407,42,0.98771,0.96117,0.99,0.97537,0.98359,0.9985,0.99534,0.98697,0.99,0.01347,0.95145,0.99526
3,efficientnet_b0,weighted_ce,full,409,42,0.98533,0.93182,1.0,0.96471,0.97772,0.99463,0.95865,0.98165,1.0,0.06608,0.92994,0.98876
4,efficientnet_b0,weighted_ce,full,400,42,0.985,0.93478,1.0,0.96629,0.97832,1.0,1.0,0.98089,1.0,0.02759,0.93683,0.98958
5,efficientnet_b0,weighted_ce,full,408,42,0.98775,0.96809,0.97849,0.97326,0.98266,0.99843,0.99564,0.99048,0.97849,0.01159,0.9479,0.99429
1,mobilenet_v3,weighted_ce,full,402,42,0.99005,0.98958,0.96939,0.97938,0.98641,0.99134,0.98899,0.99671,0.96939,0.01441,0.95651,0.99522
2,mobilenet_v3,weighted_ce,full,407,42,0.98771,0.96117,0.99,0.97537,0.98359,0.99756,0.99164,0.98697,0.99,0.01879,0.95145,0.99526
3,mobilenet_v3,weighted_ce,full,409,42,0.97311,0.88172,1.0,0.93714,0.96002,0.99552,0.97714,0.96636,1.0,0.03402,0.89411,0.97175
4,mobilenet_v3,weighted_ce,full,400,42,0.9925,0.96629,1.0,0.98286,0.98903,1.0,1.0,0.99045,1.0,0.01509,0.96201,1.0
5,mobilenet_v3,weighted_ce,full,408,42,0.99265,1.0,0.96774,0.98361,0.98943,0.99693,0.99417,1.0,0.96774,0.00507,0.96133,1.0
1,efficientnet_b0,weighted_ce,full,402,42,0.99005,0.97959,0.97959,0.97959,0.98651,0.99604,0.99262,0.99342,0.97959,0.02034,0.95918,0.99556
