backbone,metric,mean,std,ci95_halfwidth,n_folds
efficientnet_b0,accuracy,0.98507,0.0,0.0,1
efficientnet_b0,precision,0.96,0.0,0.0,1
efficientnet_b0,recall,0.97959,0.0,0.0,1
efficientnet_b0,f1,0.9697,0.0,0.0,1
efficientnet_b0,macro_f1,0.9799,0.0,0.0,1
efficientnet_b0,roc_auc,0.99497,0.0,0.0,1
efficientnet_b0,pr_auc,0.9909,0.0,0.0,1
efficientnet_b0,specificity,0.98684,0.0,0.0,1
efficientnet_b0,sensitivity,0.97959,0.0,0.0,1
efficientnet_b0,ece,0.01407,0.0,0.0,1
resnet50,accuracy,0.9801,0.0,0.0,1
resnet50,precision,0.95918,0.0,0.0,1
resnet50,recall,0.95918,0.0,0.0,1
resnet50,f1,0.95918,0.0,0.0,1
resnet50,macro_f1,0.97301,0.0,0.0,1
resnet50,roc_auc,0.99312,0.0,0.0,1
resnet50,pr_auc,0.98947,0.0,0.0,1
resnet50,specificity,0.98684,0.0,0.0,1
resnet50,sensitivity,0.95918,0.0,0.0,1
resnet50,ece,0.01426,0.0,0.0,1
mobilenet_v3,accuracy,0.98668,0.00725,0.00635,5
mobilenet_v3,precision,0.95704,0.03802,0.03333,5
mobilenet_v3,recall,0.98485,0.00538,0.00471,5
mobilenet_v3,f1,0.97037,0.01799,0.01577,5
mobilenet_v3,macro_f1,0.98088,0.01125,0.00986,5
mobilenet_v3,roc_auc,0.99427,0.00671,0.00588,5
mobilenet_v3,pr_auc,0.98487,0.01553,0.01361,5
mobilenet_v3,specificity,0.98739,0.01035,0.00908,5
mobilenet_v3,sensitivity,0.98485,0.00538,0.00471,5
mobilenet_v3,ece,0.01625,0.00782,0.00685,5
