fpr,tpr,threshold
0.0,0.0,inf
0.0,0.01,0.9999994039535522
0.0,0.09,0.9999891519546509
0.0,0.11,0.9999890327453613
0.0,0.83,0.9960964322090149
0.003257328990228013,0.83,0.9955992698669434
0.003257328990228013,0.88,0.9918380379676819
0.006514657980456026,0.88,0.9918212890625
0.006514657980456026,0.91,0.9854141473770142
0.009771986970684038,0.91,0.9830096364021301
0.009771986970684038,0.99,0.7676708698272705
0.035830618892508145,0.99,0.06028163433074951
0.035830618892508145,1.0,0.060023561120033264
1.0,1.0,0.00011488625023048371
