method,distribution,fold,client_fraction,local_epochs,round,n_selected,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_roc_auc,val_pr_auc,val_specificity,val_sensitivity
fedavg,iid,1,1.0,3,1,6,0.16847,0.41894,0.78856,1.0,0.12371,0.22018,0.54894,0.98158,0.96067,1.0,0.12371
fedavg,iid,1,1.0,3,2,6,0.11081,0.4761,0.78358,1.0,0.10309,0.18692,0.53105,0.99121,0.97419,1.0,0.10309
fedavg,iid,1,1.0,3,3,6,0.09722,0.21803,0.91542,1.0,0.64948,0.7875,0.86735,0.99861,0.99503,1.0,0.64948
fedavg,iid,1,1.0,3,4,6,0.06922,0.13813,0.9403,0.98667,0.76289,0.86047,0.91125,0.99858,0.99456,0.99672,0.76289
fedavg,iid,1,1.0,3,5,6,0.07605,0.11004,0.97264,0.98864,0.89691,0.94054,0.96138,0.99831,0.99373,0.99672,0.89691
fedavg,iid,1,1.0,3,6,6,0.0481,0.0491,0.99254,0.98958,0.97938,0.98446,0.98977,0.99811,0.9921,0.99672,0.97938
fedavg,iid,1,1.0,3,7,6,0.04775,0.04418,0.98507,0.97895,0.95876,0.96875,0.97947,0.99909,0.99694,0.99344,0.95876
fedavg,iid,1,1.0,3,8,6,0.0531,0.03584,0.98756,0.96,0.98969,0.97462,0.98319,0.99855,0.99458,0.98689,0.98969
fedavg,iid,1,1.0,3,9,6,0.04756,0.05591,0.99005,0.97938,0.97938,0.97938,0.98641,0.99882,0.99593,0.99344,0.97938
fedavg,iid,1,1.0,3,10,6,0.03067,0.0618,0.99005,0.9697,0.98969,0.97959,0.98651,0.99858,0.99471,0.99016,0.98969
fedavg,iid,1,1.0,3,11,6,0.03162,0.08063,0.99254,0.97959,0.98969,0.98462,0.98984,0.99858,0.99534,0.99344,0.98969
fedavg,iid,1,1.0,3,12,6,0.03162,0.06816,0.99254,0.97959,0.98969,0.98462,0.98984,0.99868,0.99531,0.99344,0.98969
fedavg,iid,1,1.0,3,13,6,0.0416,0.07398,0.99254,0.97959,0.98969,0.98462,0.98984,0.99909,0.99694,0.99344,0.98969
fedavg,iid,1,1.0,3,14,6,0.025,0.09635,0.99005,0.9697,0.98969,0.97959,0.98651,0.99895,0.99658,0.99016,0.98969
fedavg,iid,1,1.0,3,15,6,0.03144,0.09674,0.99005,0.9697,0.98969,0.97959,0.98651,0.9986,0.99509,0.99016,0.98969
fedavg,iid,1,1.0,3,16,6,0.03945,0.10443,0.99254,0.97959,0.98969,0.98462,0.98984,0.999,0.9967,0.99344,0.98969
fedavg,iid,1,1.0,3,17,6,0.04622,0.09732,0.98756,0.96,0.98969,0.97462,0.98319,0.99858,0.99404,0.98689,0.98969
fedavg,iid,1,1.0,3,18,6,0.02956,0.09451,0.98756,0.96,0.98969,0.97462,0.98319,0.99865,0.99453,0.98689,0.98969
fedavg,iid,1,1.0,3,19,6,0.03651,0.08552,0.99254,0.97959,0.98969,0.98462,0.98984,0.99785,0.98715,0.99344,0.98969
fedavg,iid,1,1.0,3,20,6,0.0397,0.17603,0.98756,0.96,0.98969,0.97462,0.98319,0.99719,0.98604,0.98689,0.98969
fedavg,noniid,1,1.0,3,1,6,0.16095,0.54932,0.77805,0.0,0.0,0.0,0.43759,0.9805,0.92959,1.0,0.0
fedavg,noniid,1,1.0,3,2,6,0.10587,0.11027,0.9561,0.98667,0.81319,0.89157,0.93202,0.99676,0.98118,0.99687,0.81319
fedavg,noniid,1,1.0,3,3,6,0.08155,0.07323,0.97317,0.96512,0.91209,0.93785,0.96037,0.99711,0.98814,0.9906,0.91209
fedavg,noniid,1,1.0,3,4,6,0.05696,0.10707,0.96341,0.98718,0.84615,0.91124,0.9441,0.99838,0.99349,0.99687,0.84615
fedavg,noniid,1,1.0,3,5,6,0.06114,0.04321,0.98293,0.96667,0.95604,0.96133,0.97519,0.99873,0.99534,0.9906,0.95604
fedavg,noniid,1,1.0,3,6,6,0.07281,0.03388,0.9878,0.97778,0.96703,0.97238,0.98228,0.99897,0.99612,0.99373,0.96703
fedavg,noniid,1,1.0,3,7,6,0.04646,0.03646,0.99024,0.96774,0.98901,0.97826,0.98599,0.999,0.99612,0.9906,0.98901
fedavg,noniid,1,1.0,3,8,6,0.04793,0.03689,0.99268,0.97826,0.98901,0.98361,0.98945,0.9991,0.99667,0.99373,0.98901
fedavg,noniid,1,1.0,3,9,6,0.0338,0.07704,0.98537,0.97753,0.95604,0.96667,0.97865,0.999,0.99636,0.99373,0.95604
