method,distribution,mu,client_fraction,local_epochs,round,n_selected,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_roc_auc,val_pr_auc,val_specificity,val_sensitivity,fold
fedprox,noniid,0.1,1.0,3,1,6,0.16583,0.45012,0.76049,0.0,0.0,0.0,0.43198,0.91003,0.72874,1.0,0.0,
fedprox,noniid,0.1,1.0,3,2,6,0.10077,0.37369,0.78025,1.0,0.08247,0.15238,0.51307,0.99146,0.97028,1.0,0.08247,
fedprox,noniid,0.1,1.0,3,3,6,0.0855,0.23623,0.86914,1.0,0.45361,0.62411,0.77245,0.99665,0.9878,1.0,0.45361,
fedprox,noniid,0.1,1.0,3,4,6,0.07688,0.13527,0.93827,0.98649,0.75258,0.8538,0.90734,0.9926,0.9806,0.99675,0.75258,
fedprox,noniid,0.1,1.0,3,5,6,0.05741,0.08141,0.97284,0.96739,0.91753,0.9418,0.96204,0.99307,0.98448,0.99026,0.91753,
fedprox,noniid,0.1,1.0,3,6,6,0.05015,0.07075,0.98272,0.96875,0.95876,0.96373,0.97619,0.99498,0.98687,0.99026,0.95876,
fedprox,noniid,0.1,1.0,3,7,6,0.04588,0.05846,0.98765,0.96939,0.97938,0.97436,0.98311,0.99672,0.98991,0.99026,0.97938,
fedprox,noniid,0.1,1.0,3,8,6,0.0384,0.06265,0.98765,0.96939,0.97938,0.97436,0.98311,0.99575,0.98778,0.99026,0.97938,
fedprox,noniid,0.1,1.0,3,9,6,0.03054,0.07019,0.98765,0.96939,0.97938,0.97436,0.98311,0.99652,0.98918,0.99026,0.97938,
fedprox,noniid,0.1,1.0,3,10,6,0.02937,0.06251,0.98765,0.96939,0.97938,0.97436,0.98311,0.99712,0.98952,0.99026,0.97938,
fedprox,noniid,0.1,1.0,3,11,6,0.02357,0.0747,0.98519,0.96907,0.96907,0.96907,0.97967,0.99705,0.98945,0.99026,0.96907,
fedprox,noniid,0.1,1.0,3,12,6,0.02679,0.06505,0.98765,0.96939,0.97938,0.97436,0.98311,0.99792,0.99278,0.99026,0.97938,
fedprox,noniid,0.1,1.0,3,13,6,0.03022,0.06467,0.98765,0.96939,0.97938,0.97436,0.98311,0.99823,0.99396,0.99026,0.97938,
fedprox,noniid,0.1,1.0,3,14,6,0.03179,0.07282,0.98519,0.96907,0.96907,0.96907,0.97967,0.99779,0.99335,0.99026,0.96907,
