backbone,data_pct,metric,mean,std,ci95_halfwidth,n_folds
efficientnet_b0,5,accuracy,0.95565,0.01441,0.01263,5
efficientnet_b0,5,f1,0.90691,0.03202,0.02806,5
efficientnet_b0,5,roc_auc,0.99172,0.00394,0.00346,5
efficientnet_b0,5,pr_auc,0.97106,0.01893,0.0166,5
efficientnet_b0,5,sensitivity,0.96082,0.0268,0.02349,5
efficientnet_b0,10,accuracy,0.98079,0.01133,0.00993,5
efficientnet_b0,10,f1,0.95798,0.02673,0.02343,5
efficientnet_b0,10,roc_auc,0.99542,0.00315,0.00276,5
efficientnet_b0,10,pr_auc,0.9868,0.01169,0.01025,5
efficientnet_b0,10,sensitivity,0.98547,0.01415,0.0124,5
efficientnet_b0,20,accuracy,0.9813,0.01016,0.0089,5
efficientnet_b0,20,f1,0.9589,0.02123,0.01861,5
efficientnet_b0,20,roc_auc,0.99476,0.00305,0.00267,5
efficientnet_b0,20,pr_auc,0.98421,0.01414,0.01239,5
efficientnet_b0,20,sensitivity,0.96094,0.0428,0.03752,5
efficientnet_b0,50,accuracy,0.9862,0.00363,0.00318,5
efficientnet_b0,50,f1,0.96966,0.00996,0.00873,5
efficientnet_b0,50,roc_auc,0.99469,0.00532,0.00466,5
efficientnet_b0,50,pr_auc,0.98269,0.02301,0.02017,5
efficientnet_b0,50,sensitivity,0.98718,0.00874,0.00766,5
efficientnet_b0,100,accuracy,0.99115,0.00587,0.00515,5
efficientnet_b0,100,f1,0.98047,0.01382,0.01211,5
efficientnet_b0,100,roc_auc,0.99523,0.00486,0.00426,5
efficientnet_b0,100,pr_auc,0.98447,0.02088,0.0183,5
efficientnet_b0,100,sensitivity,0.98729,0.00876,0.00768,5
mobilenet_v3,5,accuracy,0.72131,0.08542,0.07487,5
mobilenet_v3,5,f1,0.60227,0.07,0.06136,5
mobilenet_v3,5,roc_auc,0.88832,0.0269,0.02358,5
mobilenet_v3,5,pr_auc,0.68994,0.08224,0.07208,5
mobilenet_v3,5,sensitivity,0.90782,0.1012,0.0887,5
mobilenet_v3,10,accuracy,0.9595,0.00776,0.00681,5
mobilenet_v3,10,f1,0.91396,0.01546,0.01355,5
mobilenet_v3,10,roc_auc,0.99248,0.00452,0.00396,5
mobilenet_v3,10,pr_auc,0.96767,0.0279,0.02445,5
mobilenet_v3,10,sensitivity,0.95178,0.04169,0.03654,5
mobilenet_v3,20,accuracy,0.97481,0.01661,0.01456,5
mobilenet_v3,20,f1,0.94707,0.03081,0.02701,5
mobilenet_v3,20,roc_auc,0.99548,0.00269,0.00235,5
mobilenet_v3,20,pr_auc,0.97879,0.02832,0.02482,5
mobilenet_v3,20,sensitivity,0.965,0.01374,0.01204,5
mobilenet_v3,50,accuracy,0.98424,0.00609,0.00534,5
mobilenet_v3,50,f1,0.9649,0.01362,0.01194,5
mobilenet_v3,50,roc_auc,0.99617,0.00315,0.00276,5
mobilenet_v3,50,pr_auc,0.9802,0.03084,0.02703,5
mobilenet_v3,50,sensitivity,0.96123,0.02328,0.0204,5
mobilenet_v3,100,accuracy,0.98769,0.0057,0.005,5
mobilenet_v3,100,f1,0.97272,0.01272,0.01115,5
mobilenet_v3,100,roc_auc,0.99587,0.00426,0.00374,5
mobilenet_v3,100,pr_auc,0.98686,0.01559,0.01366,5
mobilenet_v3,100,sensitivity,0.97426,0.0109,0.00955,5
