model,student,fold,temperature,alpha,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,specificity,sensitivity
teacher,efficientnet_b0,1,,,0.99254,0.98969,0.97959,0.98462,0.98984,0.98721,0.9869,0.99671,0.97959
baseline,mobilenet_v3,1,4.0,,0.97512,0.96809,0.92857,0.94792,0.96579,0.99265,0.98102,0.99013,0.92857
distilled_T1.0_a0.3,mobilenet_v3,1,1.0,0.3,0.99005,0.98958,0.96939,0.97938,0.98641,0.98375,0.98476,0.99671,0.96939
distilled_T1.0_a0.5,mobilenet_v3,1,1.0,0.5,0.97761,0.93204,0.97959,0.95522,0.97015,0.9955,0.99213,0.97697,0.97959
distilled_T1.0_a0.7,mobilenet_v3,1,1.0,0.7,0.99254,0.98969,0.97959,0.98462,0.98984,0.99486,0.99038,0.99671,0.97959
distilled_T2.0_a0.3,mobilenet_v3,1,2.0,0.3,0.99005,0.97959,0.97959,0.97959,0.98651,0.98104,0.98401,0.99342,0.97959
distilled_T2.0_a0.5,mobilenet_v3,1,2.0,0.5,0.99254,0.98969,0.97959,0.98462,0.98984,0.9809,0.98378,0.99671,0.97959
distilled_T2.0_a0.7,mobilenet_v3,1,2.0,0.7,0.99254,0.98969,0.97959,0.98462,0.98984,0.98164,0.98436,0.99671,0.97959
distilled_T4.0_a0.3,mobilenet_v3,1,4.0,0.3,0.99005,0.98958,0.96939,0.97938,0.98641,0.98671,0.98568,0.99671,0.96939
distilled_T4.0_a0.5,mobilenet_v3,1,4.0,0.5,0.99254,0.98969,0.97959,0.98462,0.98984,0.98704,0.98622,0.99671,0.97959
distilled_T4.0_a0.7,mobilenet_v3,1,4.0,0.7,0.99254,0.98969,0.97959,0.98462,0.98984,0.99131,0.9882,0.99671,0.97959
distilled_T6.0_a0.3,mobilenet_v3,1,6.0,0.3,0.99005,0.98958,0.96939,0.97938,0.98641,0.99221,0.98842,0.99671,0.96939
distilled_T6.0_a0.5,mobilenet_v3,1,6.0,0.5,0.99005,0.98958,0.96939,0.97938,0.98641,0.98167,0.98429,0.99671,0.96939
distilled_T6.0_a0.7,mobilenet_v3,1,6.0,0.7,0.99254,0.98969,0.97959,0.98462,0.98984,0.97922,0.98263,0.99671,0.97959
