comparison,metric,n_folds,mean_diff,wilcoxon_p,ttest_p,cohens_d,diff_ci_low,diff_ci_high,interpretation
efficientnet_b0_vs_mobilenet_v3,accuracy,5,-4e-05,1.0,0.992,-0.0048,-0.00548,0.00635,"mobilenet_v3 higher by 0.0000 (not significant, p=1.000)"
efficientnet_b0_vs_mobilenet_v3,f1,5,0.00017,1.0,0.9829,0.0102,-0.01197,0.01451,"efficientnet_b0 higher by 0.0002 (not significant, p=1.000)"
efficientnet_b0_vs_mobilenet_v3,roc_auc,5,0.00125,0.25,0.2603,0.586,-0.00023,0.00301,"efficientnet_b0 higher by 0.0013 (not significant, p=0.250)"
efficientnet_b0_vs_mobilenet_v3,pr_auc,5,-0.00194,0.875,0.6682,-0.2066,-0.01037,0.00323,"mobilenet_v3 higher by 0.0019 (not significant, p=0.875)"
efficientnet_b0_vs_mobilenet_v3,sensitivity,5,0.00419,0.5,0.178,0.7299,0.0,0.00849,"efficientnet_b0 higher by 0.0042 (not significant, p=0.500)"
efficientnet_b0_vs_mobilenet_v3,specificity,5,-0.00142,0.875,0.7719,-0.1387,-0.00829,0.00727,"mobilenet_v3 higher by 0.0014 (not significant, p=0.875)"
efficientnet_b0_vs_resnet50,accuracy,5,-0.00249,0.375,0.3712,-0.45,-0.00698,0.00195,"resnet50 higher by 0.0025 (not significant, p=0.375)"
efficientnet_b0_vs_resnet50,f1,5,-0.00519,0.625,0.4032,-0.4177,-0.01539,0.00467,"resnet50 higher by 0.0052 (not significant, p=0.625)"
efficientnet_b0_vs_resnet50,roc_auc,5,0.00141,0.4375,0.4486,0.3753,-0.00071,0.00486,"efficientnet_b0 higher by 0.0014 (not significant, p=0.438)"
efficientnet_b0_vs_resnet50,pr_auc,5,0.00288,0.3125,0.2715,0.57,-0.0009,0.0069,"efficientnet_b0 higher by 0.0029 (not significant, p=0.312)"
efficientnet_b0_vs_resnet50,sensitivity,5,0.00404,0.5,0.1778,0.7302,0.0,0.00812,"efficientnet_b0 higher by 0.0040 (not significant, p=0.500)"
efficientnet_b0_vs_resnet50,specificity,5,-0.00456,0.1875,0.2127,-0.6624,-0.00957,0.00114,"resnet50 higher by 0.0046 (not significant, p=0.188)"
mobilenet_v3_vs_resnet50,accuracy,5,-0.00246,0.25,0.1401,-0.8214,-0.0049,-0.00049,"resnet50 higher by 0.0025 (not significant, p=0.250)"
mobilenet_v3_vs_resnet50,f1,5,-0.00536,0.125,0.146,-0.8056,-0.01097,-0.00099,"resnet50 higher by 0.0054 (not significant, p=0.125)"
mobilenet_v3_vs_resnet50,roc_auc,5,0.00016,0.8125,0.8793,0.0724,-0.00159,0.00191,"mobilenet_v3 higher by 0.0002 (not significant, p=0.812)"
mobilenet_v3_vs_resnet50,pr_auc,5,0.00481,0.8125,0.4594,0.3657,-0.00282,0.0169,"mobilenet_v3 higher by 0.0048 (not significant, p=0.812)"
mobilenet_v3_vs_resnet50,sensitivity,5,-0.00015,1.0,0.9657,-0.0204,-0.00645,0.006,"resnet50 higher by 0.0001 (not significant, p=1.000)"
mobilenet_v3_vs_resnet50,specificity,5,-0.00314,0.25,0.228,-0.6361,-0.00692,0.00063,"resnet50 higher by 0.0031 (not significant, p=0.250)"
